id_partido;fecha;hora;categoria;competicion;grupo;estadio;equipo_local;equipo_visitante;goles_local;goles_visitante;amarillas_local;amarillas_visitante;rojas_local;rojas_visitante;arbitro_principal;arbitro_comite;arbitro_principal_clean;tarjetas_total;desviacion_tarjetas;id_territorio;ciudad;barrio;ref_edad;ref_years_arbitrando;ref_years_categoria;ref_rango_oficial;ref_IDP
84665;2025-12-20;20:00:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 28;CAMP DE FUTBOL MPAL. LA FERRERIA;BASE MONTCADA CLUB FUTBOL  B;PLANADEU-ROUREDA UNIÓ  ESPORTIVA FUTBOL C;5;3;0;3;1;0;AGUILAR PRAT, RAFAEL;Vallès Occidental;AGUILAR PRAT, RAFAEL;4;0.4754461099214846;Montcada i Reixac;Montcada i Reixac;Montcada i Reixac;29.0;12.0;4.0;Àrbitre 3a Federació;1.270039828737477
101083;2025-12-20;20:00:00;AMATEUR;QUARTA CATALANA;GRUP 18;CAMP DE FUTBOL CEM MARESME;PUJADAS, C.D. A;ZODIAC ELEVEN, F.C. B;2;0;1;3;1;0;ANDINO MARTÍNEZ, SABINA;Barcelona3;ANDINO MARTÍNEZ, SABINA;5;-0.17322043628013795;Barcelona 180 (el Maresme i el Maresme Vell);Barcelona;el Maresme i el Maresme Vell;24.0;2.0;;Àrbitre Cursetista 2n any;0.5242848507462361
143592;2025-12-21;16:00:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 14;CAMP DE FUTBOL MPAL. DE BATEA;BATEA, C.F. A;MORA LA NOVA, AT. A;0;5;1;0;0;0;GABARRI CLAVERIA, JOSE RAMON;Terres de l'Ebre;GABARRI CLAVERIA, JOSE RAMON;1;-2.5245538900785154;Batea;Batea;Batea;27.0;8.0;;Àrbitre Cursetista;0.8001418157863155
67331;2025-12-22;17:30:00;CADETE;CADET SEGONA DIVISIÓ S16;GRUP 8;CAMP DE FUTBOL MPAL. DE VALLVIDRERA;DAUMAR , ASSOCIACIO CLUB  A;UNIFICACION BELLVITGE, U.D. B;4;1;2;0;0;0;ROBRES LLEVAT, HUGO;Barcelona3;ROBRES LLEVAT, HUGO;2;-0.5127604027918378;Desconocido;Desconocido;Desconocido;18.0;2.0;2.0;Àrbitre Cursetista 2n any;-0.06895793245230165
74609;2025-12-22;18:45:00;CADETE;CADET PRIMERA DIVISIÓ S15;GRUP 16;No especificado;VILA-SECA C.F. B;CAMBRILS UNIÓ C.E. B;1;2;1;0;0;0;VAZQUEZ MIRANDA, AITOR;Tarragona;VAZQUEZ MIRANDA, AITOR;1;-1.5127604027918378;Vila-seca;Vila-seca;Vila-seca;29.0;12.0;5.0;Àrbitre 2a Catalana;-0.006412127122283451
92489;2025-12-22;19:00:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 6;CAMP DE FUTBOL MPAL. VILARTAGUES;SANT FELIU DE GUIXOLS C.F. B;BASE L'EMPORDANET,CF. A;1;2;1;1;0;0;CHINCHILLA CHINCHILLA, SERGIO;Girona;CHINCHILLA CHINCHILLA, SERGIO;2;-1.5245538900785154;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;49.0;21.0;12.0;Àrbitre Sit.Especial;0.7805236372052542
113054;2025-12-22;19:30:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 3;CAMP DE FUTBOL MPAL. DE MONT-RAS;MONT-RAS,C.E. A;ESCOLA M.F.CALONGE-SANTANTONI,C A;3;0;0;0;0;0;NEJMIDDINE FAOUZI, ANAS;Girona;NEJMIDDINE FAOUZI, ANAS;0;-3.5245538900785154;Mont-ras;Mont-ras;Mont-ras;25.0;3.0;1.0;Àrbitre 3a Catalana;-0.5509253318512142
66135;2025-12-22;19:30:00;CADETE;CADET PRIMERA DIVISIÓ S15;GRUP 15;No especificado;CANONJA, C.F. A;COL.LEGI S.PAU APOSTOL ESP.APA B;2;4;1;1;0;0;BARTOLO TARRAGÓ, ROGER;Tarragona;BARTOLO TARRAGÓ, ROGER;2;-0.5127604027918378;Canonja, la;La Canonja;La Canonja;20.0;5.0;1.0;Àrbitre 2a Catalana;1.9092133183038416
62605;2025-12-22;19:30:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 9;CAMP DE FUTBOL MPAL. DE VIDA ACTIVA;CARDONA, C.F. A;FUNDACIÓ TERRASSA FC 1906 B;2;6;3;0;0;0;NAVRAPESCU ION, ALEXANDRU;Bages;NAVRAPESCU ION, ALEXANDRU;3;-0.5245538900785154;Cardona;Cardona;Cardona;28.0;9.0;3.0;Àrbitre Sit.Especial;1.0449830351152163
133558;2025-12-22;20:30:00;AMATEUR;TERCERA CATALANA;GRUP 17;CAMP DE FUTBOL MPAL. DISTRICTE 5È;UNIO ASTORGA, C.E. A;COL.LEGI S.PAU APOSTOL ESP.APA A;5;1;3;3;0;0;ANGLES GARCIA, DAVID;Tarragona;ANGLES GARCIA, DAVID;6;0.826779563719862;Desconocido;Desconocido;Desconocido;25.0;8.0;4.0;Àrbitre 3a Catalana;0.8131914346938975
110595;2025-12-22;21:15:00;AMATEUR;QUARTA CATALANA;GRUP 11;CAMP DE FUTBOL MPAL. D´OCATA;MASNOU AT. B;JOVENTUT TEIA CLUB FUTBOL B;1;2;1;3;0;0;MARTINEZ ZAPATA, ANGEL;Maresme;MARTINEZ ZAPATA, ANGEL;4;-1.173220436280138;Masnou, el;El Masnou;El Masnou;37.0;3.0;3.0;Àrbitre Cursetista;1.8655855687656866
133781;2025-12-23;17:45:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 15;No especificado;TORTOSA EBRE, C.F.  B;ASCO, F.C. A;4;3;1;3;0;1;LINEROS BERTOMEU, SERGI;Terres de l'Ebre;LINEROS BERTOMEU, SERGI;5;1.4754461099214846;Tortosa;Tortosa;Tortosa;26.0;4.0;1.0;Àrbitre 3a Catalana;1.9583387589410204
143388;2025-12-23;18:00:00;CADETE;CADET PRIMERA DIVISIÓ S15;GRUP 2;CAMP DE FUTBOL MPAL. DE MONELLS;MONELLS, A.E. A;ESCOLA F. BOSC DE TOSCA, C A;0;2;0;0;0;0;PARRAMON MONERRIS, ESTER;Girona;PARRAMON MONERRIS, ESTER;0;-2.5127604027918378;Cruïlles, Monells i Sant Sadurní de l'Heura;Cruïlles, Monells i Sant Sadurní de l'Heura;Cruïlles, Monells i Sant Sadurní de l'Heura;34.0;3.0;2.0;Àrbitre 3a Catalana;0.42142260112647123
71433;2025-12-23;18:45:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 35;CAMP DE FUTBOL MPAL. DE SANT FRUITÓS DE BAGES;FRUITOSENC, F.C. B;CASTELLNOU UNIÓ ESPORTIVA CLUB FUTBOL A;1;2;4;0;0;0;AKHAZZAN AKHAZZAN, MOHAMED;Bages;AKHAZZAN AKHAZZAN, MOHAMED;4;0.4754461099214846;Sant Fruitós de Bages;Sant Fruitós de Bages;Sant Fruitós de Bages;27.0;10.0;2.0;Àrbitre 1a Catalana;1.4243778523331243
130349;2025-12-23;19:00:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 13;CAMP DE FUTBOL ZEM DE ROQUETES ANNEX;ROQUETENC, C.D. A;SANTA BARBARA, C.F. A;1;3;2;2;0;0;GRUESO HURTADO, ERICK;Terres de l'Ebre;GRUESO HURTADO, ERICK;4;0.4754461099214846;Roquetes;Roquetes;Roquetes;25.0;4.0;4.0;Àrbitre Cursetista;2.144480771545234
126464;2025-12-23;19:00:00;CADETE;CADET PRIMERA DIVISIÓ S15;GRUP 4;No especificado;CARDEDEU, F.C. B;LLIÇA DE VALL C.F. A;4;1;1;1;0;0;FERNANDEZ ESPINAR, JORDI;Granollers;FERNANDEZ ESPINAR, JORDI;2;-0.5127604027918378;Cardedeu;Cardedeu;Cardedeu;21.0;4.0;2.0;Àrbitre 3a Catalana;1.0517486349672107
15338;2025-12-23;19:00:00;CADETE;CADET PRIMERA DIVISIÓ S15;GRUP 7;CAMP DE FUTBOL ZEM CAN CABANYES;SISTRELLS C.F. A;MONTAÑESA, C.F. B;0;1;4;0;0;0;VEGA LOPEZ, DANIEL;Barcelona1;VEGA LOPEZ, DANIEL;4;1.4872395972081622;Badalona 18 (Sistrells);Badalona;Sistrells;21.0;4.0;1.0;Àrbitre 2a Catalana;2.5382947634921265
86296;2025-12-23;19:00:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 48;CAMP DE FUTBOL MPAL. DE CAMBRILS (1);CAMBRILS UNIÓ C.E. B;MONTBRIO, C.E. A;13;0;2;0;0;0;VERGE BALADA, SERGI;Tarragona;VERGE BALADA, SERGI;2;-1.5245538900785154;Cambrils;Cambrils;Cambrils;18.0;2.0;0.0;Àrbitre Cursetista;2.3505089238960557
30630;2025-12-23;19:00:00;CADETE;CADET SEGONA DIVISIÓ S16;GRUP 2;CAMP DE FUTBOL MPAL. DE VILABLAREIX;VILABLAREIX FUTBOL CLUB B;FUNDACIO PRIV. ESP. DE BEGUR A;4;3;2;0;1;0;NEJMIDDINE FAOUZI, ANAS;Girona;NEJMIDDINE FAOUZI, ANAS;3;0.48723959720816223;Vilablareix;Vilablareix;Vilablareix;25.0;3.0;1.0;Àrbitre 3a Catalana;-0.5509253318512142
18757;2025-12-23;19:00:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 23;CAMP DE FUTBOL MPAL. DE RODA DE TER (1);RODA DE TER, C.E. B;SEVA, U.E. A;2;3;1;5;0;0;BAKKALI EL BOUZAIDI, MOHAMED;Osona;BAKKALI EL BOUZAIDI, MOHAMED;6;2.4754461099214846;Roda de Berà;Roda de Berà;Roda de Berà;19.0;3.0;1.0;Àrbitre 3a Catalana;3.7087135458109106
92939;2025-12-23;19:00:00;AMATEUR;QUARTA CATALANA;GRUP 25;CAMP DE FUTBOL MPAL. DEL 25 DE SETEMBRE;RÖNIN FUTBOL CLUB A;JUVENTUD 25 DE SEPTIEMBRE B;3;0;6;7;0;0;LOPEZ BERGES, JAVIER;Vallès Occidental;LOPEZ BERGES, JAVIER;13;7.826779563719862;Rubí 7 (Districte 5 Nord-est);Rubí;Districte 5 Nord-est;35.0;18.0;14.0;Àrbitre 2a Catalana;2.626363637663332
67768;2025-12-23;19:15:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 47;CAMP DE FUTBOL MPAL. JOAN CAPDEVILA MÉNDEZ;ESCOLA F.TARREGA, C.E. C;ESCOLA F. TREMP, CE B;9;3;1;0;0;0;JIED LAHMAR, NARE;Lleida;JIED LAHMAR, NARE;1;-2.5245538900785154;Sant Joan de les Abadesses;Sant Joan de les Abadesses;Sant Joan de les Abadesses;19.0;4.0;1.0;Àrbitre 3a Catalana;1.1759642830831136
116788;2025-12-23;19:30:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 2;CAMP DE FUTBOL MPAL. NOU DE BANYOLES;BANYOLES, C.E. B;MALGRAT , C.E. A;2;0;2;0;0;0;CABRERA VIDAL, DAVID;Girona;CABRERA VIDAL, DAVID;2;-1.5245538900785154;Banyoles;Banyoles;Banyoles;29.0;13.0;11.0;Àrbitre 3a Catalana;-0.3998173338595409
36535;2025-12-23;19:30:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 1;CAMP DE FUTBOL MPAL. NOVA CIUTAT ESPORTIVA BLANES;RACING BLANENC F.C. A;SANT HILARI-FONT VELLA, C.E. A;1;3;3;2;0;0;CHINCHILLA CHINCHILLA, SERGIO;Girona;CHINCHILLA CHINCHILLA, SERGIO;5;1.4754461099214846;Blanes;Blanes;Blanes;49.0;21.0;12.0;Àrbitre Sit.Especial;0.7805236372052542
71426;2025-12-23;19:30:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 35;CAMP DE FUTBOL MPAL. LA DEVESA;NAVAS,C.E. B;GUARDIOLENCA, A.F. A;2;1;2;1;0;0;CORNET ESTEBAN, MATIES;Bages;CORNET ESTEBAN, MATIES;3;-0.5245538900785154;Navàs;Navàs;Navàs;19.0;3.0;1.0;Àrbitre 3a Catalana;2.688046375714972
28980;2025-12-23;19:30:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 45;CAMP DE FUTBOL MPAL. DE GOLMÉS;PLA URGELL, C.E. A;BORDETA DE LLEIDA, U.E. B;4;1;1;0;0;0;GENÉ MORA, PAU;Lleida;GENÉ MORA, PAU;1;-2.5245538900785154;Golmés;Golmés;Golmés;24.0;8.0;1.0;Àrbitre 3a Federació;0.8752705102679657
104872;2025-12-23;20:00:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 36;No especificado;SURIA, C.E. B;SANT VICENÇ 2018, F.C. A;1;2;1;2;0;0;MUÑOZ GALEANO, ANTONIO;Bages;MUÑOZ GALEANO, ANTONIO;3;-0.5245538900785154;Súria;Súria;Súria;24.0;7.0;2.0;Àrbitre Sit.Especial;1.012010581135072
152152;2025-12-23;20:00:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 5;CAMP DE FUTBOL MPAL. DE LA CELLERA DE TER;CELLERA, C.F. B;BORRASSA, F.C. B;5;3;0;0;0;0;FETTOUCH , HAMZA;Girona;FETTOUCH , HAMZA;0;-3.5245538900785154;Cellera de Ter, la;La Cellera de Ter;La Cellera de Ter;22.0;3.0;1.0;Àrbitre 3a Catalana;0.7944317380887387
86100;2025-12-23;20:00:00;AMATEUR;TERCERA CATALANA;GRUP 5;CAMP DE FUTBOL CEM FERNANDO GONZÁLEZ RESINA;LA ROCA PENYA BLANC BLAVA CLUB FUTBOL  A;OLIMPIC LA GARRIGA, C.F. B;2;0;1;7;0;0;GARCIA CALBO, SANTIAGO;Barcelona1;GARCIA CALBO, SANTIAGO;8;2.826779563719862;Roca del Vallès, la;La Roca del Vallès;La Roca del Vallès;21.0;4.0;1.0;Àrbitre 3a Catalana;1.5562398164702498
80214;2025-12-27;16:00:00;AMATEUR;QUARTA CATALANA;GRUP 1;CAMP DE FUTBOL MPAL. DE VILATENIM;RECREATIVO MARCA, CLUB  A;EFC PALAU-SAVERDERA A;0;3;2;1;0;0;PONSATI CLAVAGUERA, ENRIC;Girona;PONSATI CLAVAGUERA, ENRIC;3;-2.173220436280138;Marçà;Marçà;Marçà;53.0;36.0;11.0;Àrbitre Sit.Especial;-1.1470013899235727
130359;2025-12-27;16:30:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 13;CAMP DE FUTBOL ZEM DE ROQUETES ANNEX;ROQUETENC, C.D. A;ALCANAR 2015 ESCOLA FUTBOL  A;3;1;2;3;0;0;RODA ADAME, RAMON;Terres de l'Ebre;RODA ADAME, RAMON;5;1.4754461099214846;Roquetes;Roquetes;Roquetes;20.0;4.0;1.0;Àrbitre 3a Catalana;2.46061952717247
31354;2025-12-27;16:30:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 22;CAMP DE FUTBOL MPAL. DE SANT FRUITÓS DE BAGES;FRUITOSENC, F.C. C;SANT VICENÇ TORELLO, U.E. A;2;4;4;2;0;0;CORNET ESTEBAN, MATIES;Bages;CORNET ESTEBAN, MATIES;6;2.4754461099214846;Sant Fruitós de Bages;Sant Fruitós de Bages;Sant Fruitós de Bages;19.0;3.0;1.0;Àrbitre 3a Catalana;2.688046375714972
122970;2025-12-29;19:00:00;CADETE;CADET PRIMERA DIVISIÓ S16;GRUP 17;CAMP DE FUTBOL MPAL. DE SANTA BÀRBARA;SANTA BARBARA, C.F. A;ALDEANA, U.E. A;0;3;1;3;0;0;ALBALAT QUERALT, NEUS;Terres de l'Ebre;ALBALAT QUERALT, NEUS;4;1.4872395972081622;Santa Bàrbara;Santa Bàrbara;Santa Bàrbara;26.0;10.0;2.0;Àrbitre 2a Catalana;1.022860033302464
39879;2025-12-30;19:00:00;CADETE;PREFERENT CADET S15;GRUP 4;CAMP DE FUTBOL MPAL. DEL PLA DE BARRA;TERRES  DE L'EBRE, C.F. A;LA FLORESTA, C.D. A;0;3;2;3;0;1;PARIS ENCINAS, EDUARD;Terres de l'Ebre;PARIS ENCINAS, EDUARD;6;3.4872395972081622;Pla de Santa Maria, el;El Pla de Santa Maria;El Pla de Santa Maria;29.0;8.0;3.0;Àrbitre 1a Catalana;1.9187313051410606
147841;2026-01-02;18:30:00;CADETE;CADET SEGONA DIVISIÓ S16;GRUP 13;CAMP DE FUTBOL MPAL. JOSEP HERMS;AVINYO , C.E. A;SANTPERENCA U.E. A;6;0;1;3;0;0;MUÑOZ GALEANO, ANTONIO;Bages;MUÑOZ GALEANO, ANTONIO;4;1.4872395972081622;Avinyó;Avinyó;Avinyó;24.0;7.0;2.0;Àrbitre Sit.Especial;1.012010581135072
65895;2026-01-03;11:00:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 41;CAMP DE FUTBOL CEM JULIO MÉNDEZ;FUNDACIO PRIVADA ASSOC. ESP. PRAT  B;BEGUES, C.F. B;9;0;1;1;0;0;ESCUDERO SELVA, HUGO;Baix Llobregat;ESCUDERO SELVA, HUGO;2;-1.5245538900785154;Prat de Comte;Prat de Comte;Prat de Comte;22.0;3.0;3.0;Àrbitre Cursetista;0.3655046425153359
122964;2026-01-03;11:30:00;CADETE;CADET PRIMERA DIVISIÓ S16;GRUP 17;No especificado;ALDEANA, U.E. A;PERELLO, C.E. A;5;0;3;0;0;0;GONZÁLEZ GARCIA, JORDI;Terres de l'Ebre;GONZÁLEZ GARCIA, JORDI;3;0.48723959720816223;Aldea, l';L'Aldea;L'Aldea;20.0;2.0;2.0;Àrbitre Cursetista 2n any;1.8995152295292557
146182;2026-01-03;12:00:00;AMATEUR;TERCERA CATALANA;GRUP 3;CAMP DE FUTBOL CLUB ESCOLA FUTBOL GARROTXA;ESCOLA F. GARROTXA A;JOVENTUT SANT PERE MARTIR A;3;4;3;3;0;0;FETTOUCH , HAMZA;Girona;FETTOUCH , HAMZA;6;0.826779563719862;Desconocido;Desconocido;Desconocido;22.0;3.0;1.0;Àrbitre 3a Catalana;0.7944317380887387
13986;2026-01-03;12:15:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 5;CAMP DE FUTBOL MPAL. ANTONI SERRA I PUJOL;BARBERÀ CLUB DE FUTBOL  B;FUNDACIO  UNIÓ ESPORTIVA VILASSAR  D;3;1;2;7;1;0;CRESPO SABATE, ALEIX;Vallès Occidental;CRESPO SABATE, ALEIX;10;6.475446109921485;Barberà de la Conca;Barberà de la Conca;Barberà de la Conca;19.0;3.0;1.0;Àrbitre 3a Catalana;3.6292931027379196
36792;2026-01-03;16:00:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 11;No especificado;ESCOLA FUTBOL BASE GUISSONA A;PARDINYES C.F. A;7;2;1;1;0;0;GRAS ROY, GERARD;Lleida;GRAS ROY, GERARD;2;-1.5245538900785154;Guissona;Guissona;Guissona;24.0;10.0;5.0;Àrbitre 2a Catalana;3.045167162701026
143593;2026-01-03;17:00:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 14;CAMP DE FUTBOL ZEM DE ROQUETES ANNEX;ROQUETENC, C.D. B;CAMPREDO, U.D. A;1;1;2;3;0;0;TENA COLOME, DIDAC;Terres de l'Ebre;TENA COLOME, DIDAC;5;1.4754461099214846;Roquetes;Roquetes;Roquetes;25.0;7.0;3.0;Àrbitre 2a Catalana;1.4627619740402804
80444;2026-01-04;17:00:00;AMATEUR;QUARTA CATALANA;GRUP 16;CAMP DE FUTBOL MPAL. ALFONS GONFAUS;AVIA, U.E. B;NAVÀS,C.E. B;4;0;2;4;0;0;AKHAZZAN AKHAZZAN, MOHAMED;Bages;AKHAZZAN AKHAZZAN, MOHAMED;6;0.826779563719862;Avià;Avià;Avià;27.0;10.0;2.0;Àrbitre 1a Catalana;1.4243778523331243
103890;2026-01-07;20:00:00;CADETE;CADET SEGONA DIVISIÓ S15;GRUP 1;CAMP DE FUTBOL COL·LEGI BELL-LLOC;BELL LLOC, C.P. A;PALAFRUGELL, F.C. A;0;0;0;0;0;0;No asignado;Desconocido;NO ASIGNADO;0;-2.5127604027918378;Bell-lloc d'Urgell;Bell-lloc d'Urgell;Bell-lloc d'Urgell;;;;;
46804;2026-01-07;20:00:00;CADETE;CADET SEGONA DIVISIÓ S16;GRUP 4;CAMP DE FUTBOL MPAL. LA VINYASSA;BASE ROSES, C.F. A;JUNCARIA, C.E. A;2;7;2;1;0;0;ACHKIROU MATVIYNKO, SAMIR;Figueres;ACHKIROU MATVIYNKO, SAMIR;3;0.48723959720816223;Roses;Roses;Roses;20.0;5.0;2.0;Àrbitre 2a Catalana;1.1747542463715595
55755;2026-01-07;20:00:00;CADETE;CADET SEGONA DIVISIÓ S15;GRUP 4;CAMP DE FUTBOL CEM LA GUINEUETA;ESCOLA ESPORTIVA GUINEUETA C.F A;VILA OLIMPICA CLUB ESP. B;4;0;0;0;0;0;ROVIRA MOLINA, PABLO;Barcelona1;ROVIRA MOLINA, PABLO;0;-2.5127604027918378;Barcelona 135 (la Guineueta);Barcelona;la Guineueta;22.0;3.0;1.0;Àrbitre 3a Catalana;-0.19700378175546732
103889;2026-01-07;20:00:00;CADETE;CADET SEGONA DIVISIÓ S15;GRUP 1;CAMP DE FUTBOL MPAL. PALASTADIUM LLUÍS MONER;PALAFOLLS, C.D. A;SANT FELIU DE GUIXOLS C.F. B;3;0;0;0;0;0;COLOMER MAJÓ, MARC;Maresme;COLOMER MAJÓ, MARC;0;-2.5127604027918378;Palafolls;Palafolls;Palafolls;26.0;2.0;2.0;Àrbitre Cursetista 2n any;1.6184857677169666
44607;2026-01-07;20:30:00;CADETE;CADET PRIMERA DIVISIÓ S16;GRUP 2;CAMP DE FUTBOL MPAL. NOU DE BANYOLES;BANYOLES, C.E. A;PALAFRUGELL, F.C. A;0;0;0;0;0;0;No asignado;Desconocido;NO ASIGNADO;0;-2.5127604027918378;Banyoles;Banyoles;Banyoles;;;;;
113048;2026-01-07;20:30:00;JUVENIL;JUVENIL SEGONA DIVISIÓ;GRUP 3;CAMP DE FUTBOL MPAL. VILA-ROJA;FUNDACIO FUTUR GIRONAEST A;ARO, C.E. B;0;0;0;0;0;0;CHINCHILLA CHINCHILLA, SERGIO;Girona;CHINCHILLA CHINCHILLA, SERGIO;0;-3.5245538900785154;Girona;Girona;Girona;49.0;21.0;12.0;Àrbitre Sit.Especial;0.7805236372052542
